collection_date,isolation_type,min_same,min_diff,country,isolation_source_new,num_close,suscept_sim,resist_sim,bla_ec_complete,acr_f_complete,mdt_m_complete,sul2_complete,bla_oxa_complete,tet_a_complete,aph_3_ib_complete,aph_6_id_complete,tetracycline
2015,clinical,3,41,USA,stool,0,0.9288969095420708,1,1,1,1,0,0,0,0,0,1
2015,clinical,6,31,USA,stool,1,0.8096774193548387,1,1,1,1,0,0,1,0,0,0
2015,clinical,5,42,USA,stool,0,1,1,1,1,1,0,0,0,0,0,1
2015,clinical,1,51,USA,stool,0,0.9832846478416098,0.9593023255813954,1,1,1,0,0,0,0,0,1
2015,clinical,3,11,USA,stool,2,1,1,1,1,1,0,0,0,0,0,1
2015,clinical,1,34,USA,urine,2,0.9201388888888888,0.8470155672142428,1,1,1,1,0,1,1,1,0
2015,clinical,3,36,USA,urine,0,0.7651515151515152,0.19999999999999996,1,1,1,0,0,0,0,0,1
2015,clinical,9,41,USA,urine,2,0.49090909090909096,0.38544474393531,1,1,1,1,0,1,1,1,0
2015,clinical,9,18,USA,urine,2,0.38641334981387854,0.4088050314465409,1,1,1,1,0,1,1,1,0
2015,clinical,14,29,USA,urine,2,0.8165680473372781,0.8669201520912547,1,1,1,1,0,0,1,1,0
2015,clinical,14,46,USA,urine,0,0.5865384615384615,0.05288461538461542,1,1,1,0,0,0,0,0,0
2015,clinical,25,31,USA,urine,0,0.898277143122504,1,1,1,1,0,0,0,0,0,0
2015,clinical,13,38,USA,other/unspecified,0,0.8185483870967742,0.5911798706506004,1,1,1,0,0,0,0,1,0
2016,environmental/other,27,18,USA,beef,0,0.6826347305389222,0.17647058823529416,1,1,1,0,0,0,0,0,1
2016,environmental/other,12,15,USA,beef,0,0.9166666666666666,0.2790697674418605,1,0,1,0,0,0,0,0,1
2016,environmental/other,8,28,USA,beef,0,1,0.5903080148363167,1,0,1,0,0,0,0,0,1
2015,clinical,23,71,USA,urine,2,0.5198404438729662,0.28205128205128205,1,1,1,1,0,0,1,1,0
2015,clinical,13,56,USA,urine,0,0.7181818181818183,0.6017784477768883,0,1,0,0,0,0,0,0,1
2014,clinical,3,16,USA,stool,2,0.7531163816878103,0.93446088794926,1,1,1,0,0,1,0,0,0
2015,clinical,4,60,USA,stool,2,0.9278846153846154,1,1,1,1,1,0,0,1,1,0
2016,environmental/other,17,5,USA,beef,0,1,1,1,1,1,0,0,0,0,0,1
2017,clinical,7,9,USA,urine,2,0.596948500587931,0.3118393234672305,1,1,1,1,0,1,1,1,0
2016,environmental/other,44,23,USA,beef,0,0.905511811023622,0.208502024291498,1,0,1,0,0,0,0,0,1
2013,clinical,7,37,USA,urine,0,0.9165605919327644,0.7829457364341085,1,1,1,0,0,0,0,0,1
2013,clinical,9,43,USA,other/unspecified,0,0.63675938780213,0.8600025802012556,1,1,0,0,0,0,0,0,1
2013,clinical,21,49,USA,urine,0,0.32195216049382713,0.375,1,1,1,0,0,1,0,0,0
2013,clinical,1,29,USA,urine,2,0.8873873873873874,0.7558139534883721,1,1,1,1,0,0,1,0,1
2014,clinical,6,31,USA,urine,0,0.35185185185185186,1,1,1,1,0,0,0,0,0,1
2014,clinical,34,31,USA,urine,0,0.5270935960591132,0.35420637470018357,1,1,1,0,0,1,0,0,0
2014,clinical,1,18,USA,stool,0,0.854361334867664,1,1,1,1,0,0,1,0,0,0
2014,clinical,16,38,USA,urine,0,0.7181818181818183,0.5610995168224688,1,1,1,0,0,0,0,0,1
2014,clinical,11,37,USA,urine,2,0.8120707526529524,1,1,1,1,1,0,1,1,1,0
2014,clinical,15,27,USA,stool,0,0.8464579082785605,1,1,1,1,0,0,0,0,0,0
2014,clinical,33,48,USA,urine,2,0.5217391304347826,0.4770753512132822,1,1,1,1,0,1,1,1,0
2014,clinical,34,45,USA,urine,0,0.7043908910148642,0.5587828492392808,1,1,0,0,0,0,0,0,1
2016,clinical,3,17,USA,urine,2,0.8464579082785605,1,1,1,1,0,0,0,0,0,1
