collection_date,isolation_type,min_same,min_diff,country,isolation_source_new,num_close,suscept_sim,resist_sim,bla_oxa_193_complete,x50s_l22_a103v_point,gyr_a_t86i_point,bla_oxa_complete,tet_o_complete,aph_3_ii_ia_complete,gentamicin
2016,environmental/other,0,4,USA,turkey,2,0.992345544013122,1,0,0,0,0,0,0,1
2016,environmental/other,1,11,USA,turkey,1,0.992345544013122,1,0,0,0,0,0,0,1
2017,environmental/other,0,3,USA,chicken,2,0.992345544013122,0.9885714285714284,0,0,0,0,0,0,1
2017,environmental/other,9,14,USA,chicken,0,0.992345544013122,0.9317073170731708,0,0,0,0,0,0,1
2017,environmental/other,4,13,USA,chicken,1,0.992345544013122,1,0,0,0,0,0,0,1
2017,environmental/other,1,11,USA,chicken,1,0.992345544013122,0.9885714285714284,0,0,0,0,0,0,1
2017,environmental/other,0,9,USA,chicken,1,0.992345544013122,1,0,0,0,0,0,0,1
2017,environmental/other,2,11,USA,other/unspecified,1,0.992345544013122,1,0,0,0,0,0,0,1
2017,environmental/other,0,9,USA,chicken,1,0.992345544013122,1,0,0,0,0,0,0,1
2017,environmental/other,0,9,USA,other/unspecified,1,0.992345544013122,1,0,0,0,0,0,0,1
2017,environmental/other,0,9,USA,chicken,1,0.992345544013122,1,0,0,0,0,0,0,1
2017,environmental/other,1,11,USA,chicken,1,0.992345544013122,1,0,0,0,0,0,0,1
2017,environmental/other,1,11,USA,chicken,1,0.992345544013122,1,0,0,0,0,0,0,1
2017,environmental/other,0,9,USA,chicken,1,0.992345544013122,1,0,0,0,0,0,0,1
2017,environmental/other,2,12,USA,other/unspecified,1,0.992345544013122,1,0,0,0,0,0,0,1
2017,environmental/other,1,10,USA,chicken,1,0.992345544013122,1,0,0,0,0,0,0,1
2017,environmental/other,4,14,USA,chicken,1,0.992345544013122,1,0,0,0,0,0,0,1
2017,environmental/other,11,16,USA,chicken,0,0.8844899872783962,1,0,0,0,0,0,0,1
2017,environmental/other,0,5,USA,chicken,2,0.992345544013122,1,0,0,0,0,0,0,1
2017,environmental/other,2,6,USA,chicken,2,0.992345544013122,1,0,0,0,0,0,0,1
2017,environmental/other,3,12,USA,chicken,1,0.992345544013122,1,0,0,0,0,0,0,1
2017,environmental/other,0,2,USA,chicken,2,0.992345544013122,1,0,0,0,0,0,0,1
2017,environmental/other,1,5,USA,chicken,2,0.992345544013122,1,0,0,0,0,0,0,1
2017,environmental/other,4,7,USA,chicken,2,0.8881791851994149,1,0,0,0,0,0,0,1
2017,environmental/other,1,5,USA,chicken,2,0.992345544013122,1,0,0,0,0,0,0,1
2017,environmental/other,2,11,USA,chicken,1,0.992345544013122,1,0,0,0,0,0,0,1
2018,environmental/other,3,7,USA,chicken,2,0.992345544013122,1,0,0,0,0,0,0,1
2018,environmental/other,3,33,USA,chicken,1,0.992345544013122,1,0,0,0,0,0,0,1
2018,environmental/other,0,3,USA,chicken,2,0.992345544013122,1,0,0,0,0,0,0,1
2018,environmental/other,0,3,USA,chicken,2,0.992345544013122,1,0,0,0,0,0,0,1
2018,environmental/other,14,31,USA,chicken,0,0.992345544013122,1,0,0,0,0,0,0,1
2018,environmental/other,2,12,USA,other/unspecified,1,0.992345544013122,1,0,0,0,0,0,0,1
2018,environmental/other,0,5,USA,chicken,2,0.992345544013122,0.8991596638655462,0,0,0,0,0,0,1
2018,environmental/other,3,8,USA,chicken,1,0.992345544013122,1,0,0,0,0,0,0,1
2018,environmental/other,0,5,USA,chicken,2,0.992345544013122,0.899795501022495,0,0,0,0,0,0,1
2019,environmental/other,4,26,USA,chicken,1,0.992345544013122,1,0,0,0,0,0,0,1
2016,environmental/other,2,4,USA,beef,2,0.9548387096774194,0.9033183196985016,1,0,0,0,1,1,1
2016,environmental/other,3,2,USA,beef,2,0.9548387096774194,1,1,0,0,0,1,0,1
2016,environmental/other,7,6,USA,chicken,2,1,1,0,0,0,0,0,0,1
2016,environmental/other,0,8,USA,chicken,1,1,1,0,0,0,0,0,0,1
2016,environmental/other,3,3,USA,chicken,2,1,1,0,0,0,0,0,0,1
2016,environmental/other,5,7,USA,chicken,2,1,1,0,0,0,0,0,0,1
2016,environmental/other,1,9,USA,chicken,1,1,1,0,0,0,0,0,0,1
2017,environmental/other,0,0,USA,chicken,2,1,1,0,0,0,0,0,0,1
2017,environmental/other,0,0,USA,chicken,2,1,1,0,0,0,0,0,0,1
2018,environmental/other,8,6,USA,chicken,1,1,1,0,0,0,0,0,0,1
2019,environmental/other,9,15,USA,chicken,0,1,1,0,0,0,0,0,0,1
2016,environmental/other,22,13,USA,beef,0,0.953030303030303,0.8798449612403101,0,0,0,0,1,0,1
2016,environmental/other,7,20,USA,beef,1,0.953030303030303,0.8798449612403101,0,0,0,0,1,0,1
2016,environmental/other,10,7,USA,beef,1,0.7181818181818183,0.2790697674418605,0,0,1,0,1,0,1
2016,environmental/other,7,9,USA,beef,1,0.953030303030303,0.8798449612403101,0,0,0,0,1,0,1
2016,environmental/other,12,14,USA,beef,0,0.953030303030303,0.8798449612403101,0,0,0,0,1,0,1
2016,environmental/other,2,20,USA,beef,1,0.953030303030303,0.8798449612403101,0,0,0,0,1,0,1
2016,environmental/other,2,20,USA,pork,1,0.953030303030303,0.8798449612403101,0,0,0,0,1,0,1
2016,environmental/other,15,13,USA,beef,0,1,1,0,0,0,0,1,0,1
2016,environmental/other,23,21,USA,beef,0,1,1,0,0,0,0,1,0,1
2016,environmental/other,11,9,USA,beef,0,1,1,0,0,0,0,1,0,1
2016,environmental/other,7,7,USA,beef,2,1,1,0,0,0,0,1,0,1
2016,environmental/other,3,6,USA,beef,2,1,1,0,0,0,0,1,0,1
2016,environmental/other,21,19,USA,beef,0,1,1,0,0,0,0,1,0,1
2016,environmental/other,11,9,USA,beef,0,1,1,0,0,0,0,1,0,1
2016,environmental/other,12,10,USA,beef,0,1,1,0,0,0,0,1,0,1
2016,environmental/other,3,5,USA,beef,2,1,1,0,0,0,0,1,0,1
2016,environmental/other,8,9,USA,beef,0,1,1,0,0,0,0,1,0,1
2016,environmental/other,11,9,USA,beef,0,1,1,0,0,0,0,1,0,1
2016,environmental/other,6,2,USA,beef,2,0.8096774193548387,0.8267326732673268,1,0,0,0,1,0,1
2016,environmental/other,14,13,USA,beef,0,0.8096774193548387,0.6030471170253117,1,0,0,0,0,0,1
2016,environmental/other,4,4,USA,beef,2,0.8421114369501467,0.5772727272727273,1,0,1,0,1,0,1
2016,environmental/other,8,7,USA,beef,1,0.7421114369501467,0.5464285714285714,1,0,0,0,1,0,1
2016,environmental/other,10,9,USA,beef,0,0.8421114369501467,0.8435455727192583,1,0,0,0,1,1,1
2016,environmental/other,2,2,USA,beef,2,0.7421114369501467,0.8220443349753694,1,0,1,0,1,0,1
2019,environmental/other,0,7,USA,chicken,2,0.9084568439407148,1,0,0,0,0,1,0,1
2016,clinical,2,1,Canada,stool,2,0.9864864864864864,0.916030534351145,1,0,1,0,1,1,0
2016,environmental/other,15,17,USA,chicken,0,0.9035190615835778,0.8733377659574468,1,0,0,0,1,0,1
2018,environmental/other,4,3,USA,chicken,2,0.922043010752688,1,1,0,0,0,0,0,1
2018,environmental/other,3,1,USA,chicken,2,0.922043010752688,1,1,0,0,0,0,0,1
2019,environmental/other,1,6,USA,other/unspecified,2,0.8981427174975563,1,1,0,0,0,0,0,1
2017,environmental/other,11,10,USA,chicken,0,0.937683284457478,1,0,1,0,0,1,0,1
2017,environmental/other,7,14,USA,chicken,1,0.937683284457478,0.9702380952380952,0,1,0,0,1,0,1
2018,environmental/other,4,3,USA,chicken,2,0.8568548387096774,1,0,1,0,0,0,0,1
2019,environmental/other,5,8,USA,other/unspecified,1,0.937683284457478,1,0,1,0,0,1,0,1
2019,environmental/other,12,11,USA,chicken,0,0.8392595307917888,1,0,1,0,1,1,0,1
2018,environmental/other,1,4,USA,chicken,2,0.9054545454545456,1,0,1,0,1,1,0,1
2018,environmental/other,5,6,USA,chicken,2,0.9054545454545456,1,0,1,0,0,1,0,1
2019,environmental/other,4,4,USA,other/unspecified,2,0.91976647206005,1,0,1,0,0,1,0,1
2019,environmental/other,0,2,USA,other/unspecified,2,0.91976647206005,1,0,1,0,0,1,0,1
2019,environmental/other,2,6,USA,chicken,2,0.91976647206005,0.9885714285714284,0,1,0,0,1,0,1
2019,environmental/other,0,4,USA,chicken,2,0.8974812343619684,1,0,1,0,0,0,0,1
2016,environmental/other,6,17,USA,beef,1,0.8870967741935484,0.5772727272727273,1,0,0,0,1,0,1
2016,environmental/other,4,3,USA,beef,2,0.9623655913978496,0.927906976744186,1,0,0,0,0,0,1
2016,environmental/other,7,8,USA,beef,1,0.9623655913978496,0.9025974025974026,1,0,0,0,0,0,1
2018,environmental/other,8,9,USA,other/unspecified,0,0.9623655913978496,1,1,0,0,1,0,0,1
2017,environmental/other,1,3,USA,chicken,2,1,0.9848275862068966,1,0,0,0,0,0,1
2017,environmental/other,0,0,USA,chicken,2,1,1,1,0,0,0,0,0,1
2017,environmental/other,2,4,USA,chicken,2,1,1,1,0,0,0,0,0,1
2018,environmental/other,7,9,USA,chicken,1,1,1,1,0,0,0,0,0,1
