"collection_date","location","isolation_type","snp_cluster","min_same","min_diff","serotype","serovar_new","country","isolation_source_new","num_close","antigen_formula_new","suscept_sim","mdsA.COMPLETE","mdsB.COMPLETE","sul2.COMPLETE","sul1.COMPLETE","blaTEM.1.COMPLETE","aadA1.COMPLETE","fosA7.COMPLETE","blaCMY.2.COMPLETE","tet..A...COMPLETE","aph..3.....Ib.COMPLETE","aph..6...Id.COMPLETE","tet..B...COMPLETE","tetracycline","streptomycin","sulfisoxazole","ampicillin"
2016,"USA:TX","environmental/other","PDS000029520.2",7,NA,"Anatum","Anatum","USA","beef",NA,"Other",NA,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2014,"USA:MD","environmental/other","PDS000029654.3",29,NA,"Kentucky","Kentucky","USA","chicken",NA,"8:i:z6",NA,"1","1","0","0","0","0","0","1","0","1","1","0","1","0","1","0"
2016,"USA:FL","environmental/other","PDS000030014.2",3,NA,"Kentucky","Kentucky","USA","beef",NA,"8:i:z6",NA,"1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1"
2014,"USA","clinical","PDS000030046.2",NA,7,"Virchow","Other","USA","stool",NA,"Other",NA,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2012,"USA: GA","environmental/other","PDS000030156.4",13,NA,"Typhimurium","Typhimurium var. 5-","USA","turkey",NA,"4:i:1,2",0.892156862745098,"1","1","1","0","0","0","0","1","1","1","1","1","0","0","0","0"
2014,"USA:VA","environmental/other","PDS000030156.4",13,NA,"Typhimurium","Typhimurium","USA","turkey",NA,"4:i:1,2",0.892156862745098,"1","1","1","0","0","0","0","1","1","1","1","1","0","0","0","0"
2016,"USA:KY","environmental/other","PDS000030317.2",23,NA,"Cerro","Other","USA","beef",NA,"Other",NA,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2016,"USA:PA","environmental/other","PDS000030319.1",3,NA,"Derby","Other","USA","pork",NA,"Other",1,"1","1","1","0","0","0","1","0","1","1","1","0","0","0","0","1"
2016,"USA:TN","environmental/other","PDS000030319.1",2,NA,"Derby","Other","USA","pork",NA,"Other",1,"1","1","1","0","0","0","1","0","1","1","1","0","0","0","0","1"
2016,"USA:AL","environmental/other","PDS000030319.1",2,NA,"Derby","Other","USA","pork",NA,"Other",1,"1","1","1","0","0","0","1","0","1","1","1","0","0","0","0","1"
